Date,Open,High,Low,Close,Volume
2022-03-07,4327.01,4327.01,4199.85,4201.09,3513066861
2022-03-08,4202.66,4276.94,4157.87,4170.7,3639337569
2022-03-09,4223.1,4299.4,4223.1,4277.88,3021442270
2022-03-10,4252.55,4268.28,4209.8,4259.52,2581145823
2022-03-11,4279.5,4291.01,4200.49,4204.31,2338436067
2022-03-14,4202.75,4247.57,4161.72,4173.11,2717144322
2022-03-15,4188.82,4271.05,4187.9,4262.45,2636945250
2022-03-16,4288.14,4358.9,4251.99,4357.86,2926597551
2022-03-17,4345.11,4412.67,4335.65,4411.67,2432766777
2022-03-18,4407.34,4465.4,4390.57,4463.12,4233761021
2022-03-21,4462.4,4481.75,4424.3,4461.18,2469825123
2022-03-22,4469.1,4522,4469.1,4511.61,2340975844
2022-03-23,4493.1,4501.07,4455.81,4456.24,2184940313
2022-03-24,4469.98,4520.58,4465.17,4520.16,2073153516
2022-03-25,4522.91,4546.03,4501.07,4543.06,2000935720
2022-03-28,4541.09,4575.65,4517.69,4575.52,2019462647
2022-03-29,4602.86,4637.3,4589.66,4631.6,2443956070
2022-03-30,4624.2,4627.77,4581.32,4602.45,2083192942
2022-03-31,4599.02,4603.07,4530.41,4530.41,2646678377
2022-04-01,4540.32,4548.7,4507.57,4545.86,2346497965
2022-04-04,4547.97,4583.5,4539.21,4582.64,2278755223
2022-04-05,4572.45,4593.45,4514.17,4525.12,2425248378
2022-04-06,4494.17,4503.94,4450.04,4481.15,2720107863
2022-04-07,4474.65,4521.16,4450.3,4500.21,2596329084
2022-04-08,4494.15,4520.41,4474.6,4488.28,2254633200
2022-04-11,4462.64,4464.35,4408.38,4412.53,2403901042
2022-04-12,4437.59,4471,4381.34,4397.45,2208449999
2022-04-13,4394.3,4453.92,4392.7,4446.59,2169384807
2022-04-14,4449.12,4460.46,4390.77,4392.59,2470867311
2022-04-18,4385.63,4410.31,4370.3,4391.69,2050678211
2022-04-19,4390.63,4471.03,4390.63,4462.21,2247364804
2022-04-20,4472.26,4488.29,4448.76,4459.45,2380185029
2022-04-21,4489.17,4512.94,4384.47,4393.66,2637237706
2022-04-22,4385.83,4385.83,4267.62,4271.78,2520690116
2022-04-25,4255.34,4299.02,4200.82,4296.12,2839258641
2022-04-26,4278.14,4278.14,4175.04,4175.2,2637223814
2022-04-27,4186.52,4240.71,4162.9,4183.96,2636232457
2022-04-28,4222.58,4308.45,4188.63,4287.5,2749225700
2022-04-29,4253.75,4269.68,4124.28,4131.93,2848565077
2022-05-02,4130.61,4169.81,4062.51,4155.38,2744837614
2022-05-03,4159.78,4200.1,4147.08,4175.48,2494450424
2022-05-04,4181.18,4307.66,4148.91,4300.17,2872026663
2022-05-05,4270.43,4270.43,4106.01,4146.87,2869932437
2022-05-06,4128.17,4157.69,4067.91,4123.34,2737830988
2022-05-09,4081.27,4081.27,3975.48,3991.24,3073865158
2022-05-10,4035.18,4068.82,3958.17,4001.05,2918622876
2022-05-11,3990.08,4049.09,3928.82,3935.18,2763949436
2022-05-12,3903.95,3964.8,3858.87,3930.08,3139788075
2022-05-13,3963.9,4038.88,3963.9,4023.89,2544978092
2022-05-16,4013.02,4046.46,3983.99,4008.01,2213704712
2022-05-17,4052,4090.72,4033.93,4088.85,2458409815
2022-05-18,4051.98,4051.98,3911.91,3923.68,2712127310
2022-05-19,3899,3945.96,3876.58,3900.79,2774295102
2022-05-20,3927.76,3943.42,3810.32,3901.36,3002384989
2022-05-23,3919.42,3981.88,3909.04,3973.75,2388208957
2022-05-24,3942.94,3955.68,3875.13,3941.48,2436606104
2022-05-25,3929.59,3999.33,3925.03,3978.73,2334088571
2022-05-26,3984.6,4075.14,3984.6,4057.84,2403570876
2022-05-27,4077.43,4158.49,4077.43,4158.24,2166465380
2022-05-31,4151.09,4168.34,4104.88,4132.15,3802655235
2022-06-01,4149.78,4166.54,4073.85,4101.23,2171495669
2022-06-02,4095.41,4177.51,4074.37,4176.82,2073390326
2022-06-03,4137.57,4142.67,4098.67,4108.54,1879610190
2022-06-06,4134.72,4168.78,4109.18,4121.43,1919840018
2022-06-07,4096.47,4164.86,4080.19,4160.68,1964102076
2022-06-08,4147.12,4160.14,4107.2,4115.77,1888845332
2022-06-09,4101.65,4119.1,4017.17,4017.82,2061086863
2022-06-10,3974.39,3974.39,3900.16,3900.86,2517736739
2022-06-13,3838.15,3838.15,3734.3,3749.63,3086104450
2022-06-14,3763.52,3778.18,3705.68,3735.48,2655239403
2022-06-15,3764.05,3837.56,3722.3,3789.99,2783030800
2022-06-16,3728.18,3728.18,3639.77,3666.77,3108178469
2022-06-17,3665.9,3707.71,3636.87,3674.84,4735841123
2022-06-21,3715.31,3779.65,3715.31,3764.79,2678184797
2022-06-22,3733.89,3801.79,3717.69,3759.89,2486465259
2022-06-23,3774.71,3802.58,3743.52,3795.73,2517500361
2022-06-24,3821.75,3913.65,3821.75,3911.74,3463802906
2022-06-27,3920.76,3927.72,3889.66,3900.11,2124362317
2022-06-28,3913,3945.86,3820.14,3821.55,2252853743
2022-06-29,3825.09,3836.5,3799.02,3818.83,2111065494
2022-06-30,3785.99,3818.99,3738.67,3785.38,2683771620
2022-07-01,3781,3829.82,3752.1,3825.33,2195445294
2022-07-05,3792.61,3832.19,3742.06,3831.39,2506060130
2022-07-06,3831.98,3870.91,3809.37,3845.08,2203972630
2022-07-07,3858.85,3910.63,3858.85,3902.62,2086719603
2022-07-08,3888.26,3918.5,3869.34,3899.38,1767934743
2022-07-11,3880.94,3880.94,3847.22,3854.43,1825910221
2022-07-12,3851.95,3873.41,3802.36,3818.8,2130143184
2022-07-13,3779.67,3829.44,3759.07,3801.78,2058496093
2022-07-14,3763.99,3796.41,3721.56,3790.38,2181635569
2022-07-15,3818,3863.62,3817.18,3863.16,2328223130
2022-07-18,3883.79,3902.44,3818.63,3830.85,2194524922
2022-07-19,3860.73,3939.81,3860.73,3936.69,2384285486
2022-07-20,3935.32,3974.13,3922.03,3959.9,2344933008
2022-07-21,3955.47,3999.29,3927.64,3998.95,2498029117
2022-07-22,3998.43,4012.44,3938.86,3961.63,2224926634
2022-07-25,3965.72,3975.3,3943.46,3966.84,1945714778
2022-07-26,3953.22,3953.22,3910.74,3921.05,2136983264
2022-07-27,3951.43,4039.56,3951.43,4023.61,2457907322
2022-07-28,4026.13,4078.95,3992.97,4072.43,2544390878
2022-07-29,4087.33,4140.15,4079.22,4130.29,2894154247
2022-08-01,4112.38,4144.95,4096.02,4118.63,2289872912
2022-08-02,4104.21,4140.47,4079.81,4091.19,2262200687
2022-08-03,4107.96,4167.66,4107.96,4155.17,2436476551
2022-08-04,4154.85,4161.29,4135.42,4151.94,2260188053
2022-08-05,4115.87,4151.58,4107.31,4145.19,2027451379
2022-08-08,4155.93,4186.62,4128.97,4140.06,2120439516
2022-08-09,4133.11,4137.3,4112.09,4122.47,2048973837
2022-08-10,4181.02,4211.03,4177.26,4210.24,2240786746
2022-08-11,4227.4,4257.91,4201.41,4207.27,2080835426
2022-08-12,4225.02,4280.47,4219.78,4280.15,1839673374
2022-08-15,4269.37,4301.79,4256.9,4297.14,1777922685
2022-08-16,4290.46,4325.28,4277.77,4305.2,1912448980
2022-08-17,4280.4,4302.18,4253.08,4274.04,1862585916
2022-08-18,4273.13,4292.53,4261.98,4283.74,1749457753
2022-08-19,4266.31,4266.31,4218.7,4228.48,2045645988
2022-08-22,4195.08,4195.08,4129.86,4137.99,1976203704
2022-08-23,4133.09,4159.77,4124.03,4128.73,1786029375
2022-08-24,4126.55,4156.56,4119.97,4140.77,1737028484
2022-08-25,4153.26,4200.54,4147.59,4199.12,1847592571
2022-08-26,4198.74,4203.04,4057.66,4057.66,2113423504
2022-08-29,4034.58,4062.99,4017.42,4030.61,1893833291
2022-08-30,4041.25,4044.98,3965.21,3986.16,2080875524
2022-08-31,4000.67,4015.37,3954.53,3955,2541475082
2022-09-01,3936.73,3970.23,3903.65,3966.85,2303154412
2022-09-02,3994.66,4018.43,3906.21,3924.26,2083181521
2022-09-06,3930.89,3942.55,3886.75,3908.19,2249694351
2022-09-07,3909.43,3987.89,3906.03,3979.87,2209800080
2022-09-08,3959.94,4010.5,3944.81,4006.18,2290057541
2022-09-09,4022.94,4076.81,4022.94,4067.36,2097275308
2022-09-12,4083.67,4119.28,4083.67,4110.41,2147244637
2022-09-13,4037.12,4037.12,3921.28,3932.69,2642497109
2022-09-14,3940.73,3961.94,3912.18,3946.01,2483571502
2022-09-15,3932.41,3959.14,3888.28,3901.35,2510229670
2022-09-16,3880.95,3880.95,3837.08,3873.33,4363348031
2022-09-19,3849.91,3900.45,3838.5,3899.89,2117736405
2022-09-20,3875.23,3876.01,3827.54,3855.93,2335994827
2022-09-21,3871.4,3907.07,3789.49,3789.93,2487138441
2022-09-22,3782.36,3790.9,3749.45,3757.99,2450867075
2022-09-23,3727.14,3727.14,3647.47,3693.23,2812566206
2022-09-26,3682.72,3715.67,3644.76,3655.04,2634968922
2022-09-27,3686.44,3717.53,3623.29,3647.29,2548804869
2022-09-28,3651.94,3736.74,3640.61,3719.04,2637914627
2022-09-29,3687.01,3687.01,3610.4,3640.47,2601213630
2022-09-30,3633.48,3671.44,3584.13,3585.62,3146085245
2022-10-03,3609.78,3698.35,3604.93,3678.43,2796268885
2022-10-04,3726.46,3791.92,3726.46,3790.93,2915001983
2022-10-05,3753.25,3806.91,3722.66,3783.28,2502482020
2022-10-06,3771.97,3797.93,3739.22,3744.52,2518958795
2022-10-07,3706.74,3706.74,3620.73,3639.66,2716138719
2022-10-10,3647.51,3652.17,3588.1,3612.39,2381483415
2022-10-11,3595.86,3640.66,3568.45,3588.84,2731976978
2022-10-12,3590.83,3608.34,3573.86,3577.03,2375058756
2022-10-13,3520.37,3685.41,3491.58,3669.91,3202991397
2022-10-14,3690.41,3712,3579.68,3583.07,2666728008
2022-10-17,3644.24,3689.73,3638.65,3677.95,2581606904
2022-10-18,3746.26,3762.79,3686.53,3719.98,2663739031
2022-10-19,3703.11,3728.58,3666.51,3695.16,2398756059
2022-10-20,3689.05,3736,3656.44,3665.78,2643573608
2022-10-21,3657.1,3757.89,3647.42,3752.75,3006076801
2022-10-24,3762.01,3810.74,3741.65,3797.34,2588908128
2022-10-25,3799.44,3862.85,3799.44,3859.11,2710890488
2022-10-26,3825.97,3886.15,3824.07,3830.6,2920633065
2022-10-27,3834.69,3859.95,3803.79,3807.3,3065025495
2022-10-28,3808.26,3905.42,3808.26,3901.06,2901520060
2022-10-31,3881.85,3893.73,3863.18,3871.98,2805343391
2022-11-01,3901.79,3911.79,3843.8,3856.1,2621979328
2022-11-02,3852.9,3894.44,3758.68,3759.69,3113991763
2022-11-03,3733.25,3750.59,3698.15,3719.89,2856234717
2022-11-04,3766.98,3796.34,3708.84,3770.55,3025947358
2022-11-07,3780.71,3813.95,3764.7,3806.8,2496452846
2022-11-08,3817.02,3859.4,3786.28,3828.11,2586669895
2022-11-09,3810.94,3818.2,3744.22,3748.57,2542782564
2022-11-10,3859.89,3958.33,3859.89,3956.37,3357652603
2022-11-11,3963.72,4001.48,3944.82,3992.93,3032916652
2022-11-14,3977.97,4008.97,3956.4,3957.25,2615043030
2022-11-15,4006.41,4028.84,3953.17,3991.73,2794165098
2022-11-16,3976.82,3983.09,3954.34,3958.79,2406651146
2022-11-17,3919.26,3954.33,3906.54,3946.56,2196879829
2022-11-18,3966.39,3979.89,3935.98,3965.34,2236041314
2022-11-21,3956.23,3962,3933.34,3949.94,2113922792
2022-11-22,3965.51,4005.88,3956.88,4003.58,1998945068
2022-11-23,4000.3,4033.78,3998.66,4027.26,1753877149
2022-11-25,4023.34,4034.02,4020.76,4026.12,902963984
2022-11-28,4005.36,4012.27,3955.77,3963.94,2097892829
2022-11-29,3964.19,3976.77,3937.65,3957.63,1904609130
2022-11-30,3957.18,4080.11,3938.58,4080.11,3725030407
2022-12-01,4087.14,4100.51,4050.87,4076.57,2319414988
2022-12-02,4040.17,4080.48,4026.63,4071.7,2076416488
2022-12-05,4052.02,4052.45,3984.49,3998.84,2278161210
2022-12-06,3996.63,4001.51,3918.39,3941.26,2367140655
2022-12-07,3933.28,3957.57,3922.68,3933.92,2263753223
2022-12-08,3947.79,3974.19,3935.83,3963.51,2157778235
2022-12-09,3954.17,3977.02,3933.04,3934.38,2123231344
2022-12-12,3939.29,3990.71,3935.3,3990.56,2285904829
2022-12-13,4069.38,4100.96,3993.03,4019.65,3087952326
2022-12-14,4015.54,4053.76,3965.65,3995.32,2603890537
2022-12-15,3958.37,3958.37,3879.45,3895.75,2703927276
2022-12-16,3890.91,3890.91,3827.91,3852.36,5089538353
2022-12-19,3853.79,3854.86,3800.04,3817.66,2299211168
2022-12-20,3810.47,3838.24,3795.62,3821.62,2209956558
2022-12-21,3839.49,3889.82,3839.49,3878.44,2148847365
2022-12-22,3853.26,3853.26,3764.49,3822.39,2365338674
2022-12-23,3815.11,3845.8,3797.01,3844.82,1579126770
2022-12-27,3843.34,3846.65,3813.22,3829.25,1744900168
2022-12-28,3829.56,3848.32,3780.78,3783.22,1740055216
2022-12-29,3805.45,3858.19,3805.45,3849.28,1735156616
2022-12-30,3829.06,3839.85,3800.34,3839.5,1706136061
2023-01-03,3853.29,3878.46,3794.33,3824.14,2353396979
2023-01-04,3840.36,3873.16,3815.77,3852.97,2595164544
2023-01-05,3839.74,3839.74,3802.42,3808.1,2259316692
2023-01-06,3823.37,3906.19,3809.56,3895.08,2468430654
2023-01-09,3910.82,3950.57,3890.42,3892.09,2500082779
2023-01-10,3888.57,3919.83,3877.29,3919.25,2141504907
2023-01-11,3932.35,3970.07,3928.54,3969.61,2354204882
2023-01-12,3977.57,3997.76,3937.56,3983.17,2468826678
2023-01-13,3960.6,4003.95,3947.67,3999.09,2305897852
2023-01-17,3999.28,4015.39,3984.57,3990.97,2498747931
2023-01-18,4002.25,4014.16,3926.59,3928.86,2545980650
2023-01-19,3911.84,3922.94,3885.54,3898.85,2465301681
2023-01-20,3909.04,3972.96,3897.86,3972.61,2617398551
2023-01-23,3978.14,4039.31,3971.64,4019.81,2469899901
2023-01-24,4001.74,4023.92,3989.79,4016.95,2091229711
2023-01-25,3982.71,4019.55,3949.06,4016.22,2416051835
2023-01-26,4036.08,4061.57,4013.29,4060.43,2433218693
2023-01-27,4053.72,4094.21,4048.7,4070.56,2572664062
2023-01-30,4049.27,4063.85,4015.55,4017.77,2303537608
2023-01-31,4020.85,4077.16,4020.44,4076.6,2865897027
2023-02-01,4070.07,4148.95,4037.2,4119.21,2939837224
2023-02-02,4158.68,4195.44,4141.88,4179.76,3391309424
2023-02-03,4136.69,4182.36,4123.36,4136.48,2899964493
2023-02-06,4119.57,4124.63,4093.38,4111.08,2284201082
2023-02-07,4105.35,4176.54,4088.39,4164,2612787624
2023-02-08,4153.47,4156.85,4111.67,4117.86,2543426659
2023-02-09,4144.25,4156.23,4069.67,4081.5,2652617337
2023-02-10,4068.92,4094.36,4060.79,4090.46,2312192918
2023-02-13,4096.62,4138.9,4092.67,4137.29,2125959564
2023-02-14,4126.7,4159.77,4095.01,4136.13,2219075513
2023-02-15,4119.5,4148.11,4103.98,4147.6,2112266379
2023-02-16,4114.75,4136.54,4089.49,4090.41,2264834581
2023-02-17,4077.39,4081.51,4047.95,4079.09,2380094371
2023-02-21,4052.35,4052.35,3995.19,3997.34,2347271199
2023-02-22,4001.83,4017.37,3976.9,3991.05,2259720314
2023-02-23,4018.6,4028.3,3969.19,4012.32,2308657962
2023-02-24,3973.24,3978.25,3943.08,3970.04,2180170804
2023-02-27,3992.36,4018.05,3973.55,3982.24,2068606135
2023-02-28,3977.19,3997.5,3968.98,3970.15,2771735399
2023-03-01,3963.34,3971.73,3939.05,3951.39,2225253319
2023-03-02,3938.68,3990.84,3928.16,3981.35,2252262370
2023-03-03,3998.02,4048.29,3995.17,4045.64,2228260881
2023-03-06,4055.15,4078.49,4044.61,4048.42,2183396550
2023-03-07,4048.26,4050,3980.31,3986.37,2261990430
2023-03-08,3987.55,4000.41,3969.76,3992.01,2036782973
2023-03-09,3998.66,4017.81,3908.7,3918.32,2604828562
2023-03-10,3912.77,3934.05,3846.32,3861.59,3238481766
2023-03-13,3835.12,3905.05,3808.86,3855.76,4001022053
2023-03-14,3894.01,3937.29,3873.63,3919.29,3434915177
2023-03-15,3876.74,3894.26,3838.24,3891.93,3703901268
2023-03-16,3878.93,3964.46,3864.11,3960.28,3623445073
2023-03-17,3958.69,3958.91,3901.27,3916.64,5761269537
2023-03-20,3917.47,3956.62,3916.89,3951.57,2917994859
2023-03-21,3975.89,4009.08,3971.19,4002.87,2947355545
2023-03-22,4002.04,4039.49,3936.17,3936.97,2694608426
2023-03-23,3959.21,4007.66,3919.05,3948.72,2797479137
2023-03-24,3939.21,3972.74,3909.16,3970.99,2584795164
2023-03-27,3982.93,4003.83,3970.49,3977.53,2461561562
2023-03-28,3974.13,3979.2,3951.53,3971.27,1986603707
2023-03-29,3999.53,4030.59,3999.53,4027.81,2265595656
2023-03-30,4046.74,4057.85,4032.1,4050.83,2133759612
2023-03-31,4056.18,4110.75,4056.18,4109.31,2516723256
2023-04-03,4102.2,4127.66,4098.79,4124.51,2425239188
2023-04-04,4128.03,4133.13,4086.87,4100.6,2264264203
2023-04-05,4094.5,4099.69,4072.56,4090.38,2325149807
2023-04-06,4081.15,4107.32,4069.84,4105.02,2072470322
2023-04-10,4085.2,4109.5,4072.55,4109.11,1948962417
2023-04-11,4110.29,4124.26,4102.61,4108.94,1989408805
2023-04-12,4121.72,4134.37,4086.94,4091.95,2242917713
2023-04-13,4100.04,4150.26,4099.4,4146.22,2196995300
2023-04-14,4140.11,4163.19,4113.2,4137.64,2077040795
2023-04-17,4137.17,4151.72,4123.18,4151.32,2132427049
2023-04-18,4164.26,4169.48,4140.36,4154.87,2124684260
2023-04-19,4139.33,4162.57,4134.49,4154.52,2158289234
2023-04-20,4130.48,4148.57,4114.57,4129.79,2453132513
2023-04-21,4132.14,4138.02,4113.86,4133.52,2304130058
2023-04-24,4132.07,4142.41,4117.77,4137.04,2113777657
2023-04-25,4126.43,4126.43,4071.38,4071.63,2559843604
2023-04-26,4087.78,4089.67,4049.35,4055.99,2698867825
2023-04-27,4075.29,4138.24,4075.29,4135.35,2698412526
2023-04-28,4129.63,4170.06,4127.17,4169.48,2723328076
2023-05-01,4166.79,4186.92,4164.12,4167.87,2244433487
2023-05-02,4164.1,4164.1,4089.72,4119.58,2638399719
2023-05-03,4122.25,4148.3,4088.86,4090.75,2793300701
2023-05-04,4082.55,4082.61,4048.28,4061.22,2876115101
2023-05-05,4084.73,4147.02,4084.73,4136.25,2470165404
2023-05-08,4136.98,4142.3,4123.81,4138.12,2097970022
2023-05-09,4124.25,4130.35,4116.65,4119.17,2063699116
2023-05-10,4143.74,4154.28,4098.92,4137.64,2344517718
2023-05-11,4132.24,4132.8,4109.29,4130.62,2245622679
2023-05-12,4138.54,4143.74,4099.12,4124.08,2076596316
2023-05-15,4126.65,4141.25,4110.27,4136.28,2052455077
2023-05-16,4127.95,4135.54,4109.86,4109.9,2176451205
2023-05-17,4122.85,4164.67,4113.62,4158.77,2440897931
2023-05-18,4157.68,4202.2,4153.5,4198.05,2409183557
2023-05-19,4204.15,4212.91,4180.2,4191.98,2352764320
2023-05-22,4190.78,4209.22,4179.68,4192.63,2217613961
2023-05-23,4176.8,4185.68,4142.54,4145.58,2437622999
2023-05-24,4132.96,4132.96,4103.98,4115.24,2275689933
2023-05-25,4155.71,4165.74,4129.73,4151.28,2825869882
2023-05-26,4156.16,4212.87,4156.16,4205.45,2591763936
2023-05-30,4226.71,4231.1,4192.18,4205.52,2562757079
2023-05-31,4190.74,4195.44,4166.15,4179.83,4400897953
2023-06-01,4183.03,4232.43,4171.64,4221.02,2581648680
2023-06-02,4241.01,4290.67,4241.01,4282.37,2730479867
2023-06-05,4282.99,4299.28,4266.82,4273.79,2189296481
2023-06-06,4271.34,4288.33,4263.09,4283.85,2246726404
2023-06-07,4285.47,4299.19,4263.96,4267.52,2726818936
2023-06-08,4268.69,4298.01,4261.07,4293.93,2224429186
2023-06-09,4304.88,4322.62,4291.7,4298.86,2141505268
2023-06-12,4308.32,4340.13,4304.37,4338.93,2457045650
2023-06-13,4352.61,4375.37,4349.31,4369.01,2547779855
2023-06-14,4366.29,4391.82,4337.85,4372.59,2641024713
2023-06-15,4365.33,4439.2,4362.6,4425.84,2569292175
2023-06-16,4440.95,4448.47,4407.44,4409.59,4195443308
2023-06-20,4396.11,4400.15,4367.19,4388.71,2431767578
2023-06-21,4380.01,4386.22,4360.14,4365.69,2324030886
2023-06-22,4355.4,4382.25,4351.82,4381.89,2091147063
2023-06-23,4354.17,4366.55,4341.34,4348.33,3056621301
2023-06-26,4344.84,4362.06,4328.08,4328.82,2248760425
2023-06-27,4337.36,4384.42,4335,4378.41,2286873269
2023-06-28,4367.48,4390.35,4360.22,4376.86,2276949818
2023-06-29,4374.94,4398.39,4371.97,4396.44,2152193154
2023-06-30,4422.44,4458.48,4422.44,4450.38,2489651506
2023-07-03,4422.44,4458.48,4422.44,4455.59,1243004399
2023-07-05,4442.04,4454.06,4436.61,4446.82,2152798808
2023-07-06,4422.62,4422.62,4385.05,4411.59,2226039196
2023-07-07,4404.54,4440.39,4397.4,4398.95,2113381973
2023-07-10,4394.23,4412.6,4389.92,4409.53,2171846554
2023-07-11,4415.55,4443.64,4408.46,4439.26,2131114902
2023-07-12,4467.69,4488.34,4463.23,4472.16,2323660864
2023-07-13,4491.5,4517.38,4489.36,4510.04,2254612299
2023-07-14,4514.61,4527.76,4499.56,4505.42,2371250817
2023-07-17,4508.86,4532.85,4504.9,4522.79,2357507633
2023-07-18,4521.78,4562.3,4514.59,4554.98,2538286894
2023-07-19,4563.87,4578.43,4557.48,4565.72,2585040201
2023-07-20,4554.38,4564.74,4527.56,4534.87,2593544503
2023-07-21,4550.16,4555,4535.79,4536.34,3275429686
2023-07-24,4543.39,4563.41,4541.29,4554.64,2136206636
2023-07-25,4555.19,4580.62,4552.42,4567.46,2305490101
2023-07-26,4558.96,4582.47,4547.58,4566.75,2312272045
2023-07-27,4598.26,4607.07,4528.56,4537.41,2666286293
2023-07-28,4565.75,4590.16,4564.01,4582.23,2359801217
2023-07-31,4584.82,4594.22,4573.14,4588.96,2411537985
2023-08-01,4578.83,4584.62,4567.53,4576.73,2172699881
2023-08-02,4550.93,4550.93,4505.75,4513.39,2466207896
2023-08-03,4494.27,4519.49,4485.54,4501.89,2351421483
2023-08-04,4513.96,4540.34,4474.55,4478.03,2413919840
2023-08-07,4491.58,4519.84,4491.15,4518.44,2055431221
2023-08-08,4498.03,4503.31,4464.39,4499.38,2172253124
2023-08-09,4501.57,4502.44,4461.33,4467.71,2046722089
2023-08-10,4487.16,4527.37,4457.92,4468.83,2111185396
2023-08-11,4450.69,4476.23,4443.98,4464.05,1850766477
2023-08-14,4458.13,4490.33,4453.44,4489.72,1955913253
2023-08-15,4478.87,4478.87,4432.19,4437.86,1977157506
2023-08-16,4433.79,4449.95,4403.55,4404.33,2001143711
2023-08-17,4416.32,4421.17,4364.83,4370.36,2216839469
2023-08-18,4344.88,4381.82,4335.31,4369.71,2157858548
2023-08-21,4380.28,4407.55,4360.3,4399.77,2057592847
2023-08-22,4415.33,4418.59,4382.77,4387.55,1905849406
2023-08-23,4396.44,4443.18,4396.44,4436.01,2013748142
2023-08-24,4455.16,4458.3,4375.55,4376.31,2077193771
2023-08-25,4389.38,4418.46,4356.29,4405.71,1976128172
2023-08-28,4426.03,4439.56,4414.98,4433.31,1669881577
2023-08-29,4432.75,4500.14,4431.68,4497.63,1936663046
2023-08-30,4500.34,4521.65,4493.59,4514.87,1827645178
2023-08-31,4517.01,4532.26,4507.39,4507.66,2352361081
2023-09-01,4530.6,4541.25,4501.35,4515.77,1958155311
2023-09-05,4510.06,4514.29,4496.01,4496.83,2128341430
2023-09-06,4490.35,4490.35,4442.38,4465.48,2138052710
2023-09-07,4434.55,4457.81,4430.46,4451.14,2441134922
2023-09-08,4451.3,4473.53,4448.38,4457.49,2076441612
2023-09-11,4480.98,4490.77,4467.89,4487.46,2165432434
2023-09-12,4473.27,4487.11,4456.83,4461.9,2184137855
2023-09-13,4462.65,4479.39,4453.52,4467.44,2268926200
2023-09-14,4487.78,4511.99,4478.69,4505.1,2275484003
2023-09-15,4497.98,4497.98,4447.21,4450.32,4244973105
2023-09-18,4445.13,4466.36,4442.11,4453.53,1932361461
2023-09-19,4445.41,4449.85,4416.61,4443.95,2018270144
2023-09-20,4452.81,4461.03,4401.38,4402.2,1976745837
2023-09-21,4374.36,4375.7,4329.17,4330,2298552282
2023-09-22,4341.74,4357.4,4316.49,4320.06,2135953365
2023-09-25,4310.62,4338.51,4302.7,4337.44,1858119044
2023-09-26,4312.88,4313.01,4265.98,4273.53,2129442202
2023-09-27,4282.63,4292.07,4238.63,4274.51,2299297267
2023-09-28,4269.65,4317.27,4264.38,4299.7,2235764324
2023-09-29,4328.18,4333.15,4274.86,4288.05,2411036284
2023-10-02,4284.52,4300.58,4260.21,4288.39,2419266832
2023-10-03,4269.75,4281.15,4216.45,4229.45,2430973527
2023-10-04,4233.83,4268.5,4220.48,4263.75,2329779403
2023-10-05,4259.31,4267.13,4225.91,4258.19,2230253462
2023-10-06,4234.79,4324.1,4219.55,4308.5,2493423103
2023-10-09,4289.02,4341.73,4283.79,4335.66,1991524626
2023-10-10,4339.75,4385.46,4339.64,4358.24,2160880932
2023-10-11,4366.59,4378.64,4345.34,4376.95,2115648071
2023-10-12,4380.94,4385.85,4325.43,4349.61,2344769422
2023-10-13,4360.49,4377.1,4311.97,4327.78,2302663368
2023-10-16,4342.37,4383.33,4342.37,4373.63,2124400350
2023-10-17,4345.23,4393.57,4337.54,4373.2,2355659575
2023-10-18,4357.35,4364.2,4303.84,4314.6,2390659124
2023-10-19,4321.36,4339.54,4269.69,4278,2635705086
2023-10-20,4273.85,4276.56,4223.03,4224.16,2734219191
2023-10-23,4210.4,4255.84,4189.22,4217.04,2454581997
2023-10-24,4235.79,4259.38,4219.43,4247.68,2472963274
2023-10-25,4232.42,4232.42,4181.42,4186.77,2665565303
2023-10-26,4175.99,4183.6,4127.9,4137.23,2959734415
2023-10-27,4152.93,4156.7,4103.78,4117.37,2784710672
2023-10-30,4139.39,4177.47,4132.94,4166.82,2600517109
2023-10-31,4171.33,4195.55,4153.12,4193.8,2701786725
2023-11-01,4201.27,4245.64,4197.74,4237.86,2804876425
2023-11-02,4268.26,4319.72,4268.26,4317.78,2808160224
2023-11-03,4334.23,4373.62,4334.23,4358.34,2683282215
2023-11-06,4364.27,4372.21,4347.53,4365.98,2177065334
2023-11-07,4366.21,4386.26,4355.41,4378.38,2273382086
2023-11-08,4384.37,4391.2,4359.76,4382.78,2285134021
2023-11-09,4391.41,4393.4,4343.94,4347.35,2361060379
2023-11-10,4364.15,4418.03,4353.34,4415.24,2231546561
2023-11-13,4406.66,4421.76,4393.82,4411.55,1991619458
2023-11-14,4458.97,4508.67,4458.97,4495.7,2672131739
2023-11-15,4505.3,4521.17,4495.31,4502.88,2555968121
2023-11-16,4497.08,4511.99,4487.83,4508.24,2502113762
2023-11-17,4509.55,4520.12,4499.66,4514.02,2273204200
2023-11-20,4511.7,4557.11,4510.36,4547.38,2183094585
2023-11-21,4538.77,4542.14,4525.51,4538.19,2059443812
2023-11-22,4553.04,4568.43,4545.05,4556.62,1886910426
2023-11-24,4555.84,4560.31,4552.8,4559.34,883871606
2023-11-27,4554.86,4560.52,4546.32,4550.43,2000833401
2023-11-28,4545.55,4568.14,4540.51,4554.89,2097872795
2023-11-29,4571.84,4587.64,4547.15,4550.58,2423616420
2023-11-30,4554.87,4569.89,4537.24,4567.8,3541778970
